,mean_AUROC,margin_of_error_AUROC,mean_AUPR,margin_of_error_AUPR,AUPR_random,relative_mean_AUPR
Muscle,0.683273191431424,0.00286249983864,0.31506036625416,0.003921212097289,0.193602693602694,1.6273552830867
Heart,0.5825808533432,0.003066728577046,0.247285410053484,0.002414617197676,0.207912457912458,1.18937274147182
Stomach,0.598246398006717,0.005021851120644,0.123333416761813,0.002632108242867,0.085858585858586,1.4364715599317
Colon,0.859879455023711,0.002809043792476,0.716407867908601,0.005225583168409,0.188552188552189,3.79952029944382
Testis,0.654848291987145,0.004691745531991,0.150588380920421,0.003504784017037,0.085858585858586,1.7539117307202
Blood,0.774949560611532,0.00307706185567,0.449193182242969,0.005528517584125,0.179292929292929,2.50535915729882
Liver,0.583862524830468,0.005423877953484,0.074148048790738,0.002103747937148,0.054713804713805,1.35519818405225
Bladder,0.860918005071851,0.022078230398385,0.063986005987697,0.010017033713662,0.004208754208754,15.2030750226768
