,Mean AUROC,margin_of_error_AUROC,mean AUPR,margin_of_error_AUPR,PR_random,relative mean AUPR
Heart,0.867419921093505,0.021774415413963,0.708060418510242,0.043607105570384,0.207912457912458,3.40556994813833
Liver,0.991821563120762,0.002230931869145,0.941840777754139,0.009479607161087,0.054713804713805,17.2139514457217
Bladder,0.737282333051564,0.050395716933225,0.074375539004873,0.022401892566807,0.004208754208754,17.6716280675587
Colon,0.851253288011263,0.02868746188957,0.671311941205402,0.05334051997666,0.188552188552189,3.56035083103578
Muscle,0.95036986021603,0.007244268426409,0.848335036889791,0.021597226513186,0.193602693602694,4.38183488619595
Blood,0.996114289153726,0.001124232180527,0.983015568310324,0.005690635768177,0.179292929292929,5.48273471902661
Stomach,0.968434306503449,0.003236443983277,0.85529434666762,0.013117052975004,0.085858585858586,9.96166356706991
Testis,0.989452163001481,0.004180914203336,0.947894814926231,0.022649825766245,0.085858585858586,11.0401866679643
