,AUROC,margin_of_error_AUROC,mean_AUPR,margin_of_error_AUPR,AUPR_random,relative_mean_AUPR
Muscle,0.782866592538804,0.002502739307838,0.443788066546016,0.004902861624009,0.193602693602694,2.29226183937681
Heart,0.84042525179949,0.002944039741677,0.658549264982237,0.006121251723289,0.207912457912458,3.16743533116962
Stomach,0.829572635684108,0.0042489841051,0.587931119035832,0.007013413894731,0.085858585858586,6.84766832759381
Colon,0.922912668568465,0.001811485454828,0.84235638407268,0.003572474277729,0.188552188552189,4.4674972512426
Testis,0.844311468602174,0.003496494326595,0.378920860696303,0.008233830946479,0.085858585858586,4.41331355399223
Blood,0.87724824846515,0.002547896782493,0.629919355264032,0.006357754432342,0.179292929292929,3.51335302372616
Liver,0.835129871909035,0.005586663869509,0.59164160217812,0.012134358062165,0.054713804713805,10.813388052117
Bladder,0.893363482671175,0.019843952158825,0.084253808982747,0.014659209450096,0.004208754208754,20.0187050143007
