,mean_AUROC,margin_of_error_AUROC,mean_AUPR,margin_of_error_AUPR,AUPR_random,relative_mean_AUPR
Muscle,0.773102568757375,0.003070476534184,0.426222770336318,0.004894475791812,0.193602693602694,2.20153326591106
Heart,0.837278693955522,0.003016401426699,0.664449529834362,0.00626116261565,0.207912457912458,3.19581393296851
Stomach,0.82937502256888,0.004408691082779,0.545324081275961,0.008368861538995,0.085858585858586,6.35142165250825
Colon,0.924083779453171,0.002018682284427,0.840746467895882,0.003922230301638,0.188552188552189,4.45895894580494
Testis,0.751722095836493,0.004281041819135,0.227198117709816,0.005903419106122,0.085858585858586,2.64618984156139
Blood,0.861519634043578,0.002400737778199,0.578019331367042,0.006534837401669,0.179292929292929,3.22388246790632
Liver,0.820432426878553,0.005472454403873,0.380930383299528,0.011580429296075,0.054713804713805,6.9622353132283
Bladder,0.936921386306002,0.008826471235017,0.130165730912657,0.021189510795395,0.004208754208754,30.9273776648473
