"Adipose Tissue","Muscle","Blood Vessel","Heart","Uterus","Vagina","Breast","Skin","Salivary Gland","Brain","Adrenal Gland","Thyroid","Lung","Spleen","Pancreas","Esophagus","Stomach","Colon","Small Intestine","Prostate","Testis","Nerve","Blood","Pituitary","Ovary","Liver","Kidney","Bladder"
"Deep-sea thermophilic phage D6E","Chivirus iEPS5","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Geobacillus virus E2","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Chivirus iEPS5","Chivirus iEPS5","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Geobacillus virus E2","Chivirus iEPS5","Chivirus iEPS5","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Alfalfa mosaic virus"
"Geobacillus virus E2","Deep-sea thermophilic phage D6E","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E2","Human endogenous retrovirus K","Geobacillus virus E2","Geobacillus virus E2","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E3","Deep-sea thermophilic phage D6E","Deep-sea thermophilic phage D6E","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E2","Brome mosaic virus"
"Geobacillus virus E3","Geobacillus virus E2","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E3","Murine leukemia virus","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E3","Human endogenous retrovirus K","Geobacillus virus E2","Geobacillus virus E2","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E3","Geobacillus virus E3","Deep-sea thermophilic phage D6E"
"Human endogenous retrovirus K","Geobacillus virus E3","Human endogenous retrovirus K","Murine leukemia virus","Human endogenous retrovirus K","Human endogenous retrovirus K","Human endogenous retrovirus K","Human endogenous retrovirus K",NA,"Human endogenous retrovirus K","Human endogenous retrovirus K","Geobacillus virus E3","Geobacillus virus E3","Human endogenous retrovirus K","Murine leukemia virus","Human endogenous retrovirus K","Human betaherpesvirus 7","Human endogenous retrovirus K","Human endogenous retrovirus K","Human endogenous retrovirus K",NA,"Geobacillus virus E3","Geobacillus virus E3","Human endogenous retrovirus K","Human endogenous retrovirus K","Human endogenous retrovirus K","Human endogenous retrovirus K","Escherichia virus DE3"
"Murine leukemia virus",NA,"Murine leukemia virus",NA,"Sinsheimervirus phiX174","Murine leukemia virus","Murine leukemia virus","Murine leukemia virus",NA,NA,"Sinsheimervirus phiX174","Human endogenous retrovirus K","Human endogenous retrovirus K","Inovirus M13",NA,"Murine leukemia virus","Murine leukemia virus","Methanosarcina sp. WH1","Methanosarcina sp. WH1","Inovirus M13",NA,"Human endogenous retrovirus K","Murine leukemia virus","Murine leukemia virus",NA,"Murine leukemia virus","Inovirus M13","Geobacillus virus E2"
NA,NA,NA,NA,NA,"Sinsheimervirus phiX174",NA,NA,NA,NA,NA,"Murine leukemia virus","Murine leukemia virus","Methanocaldococcus jannaschii",NA,NA,"Sinsheimervirus phiX174","Murine leukemia virus","Murine leukemia virus","Murine leukemia virus",NA,"Murine leukemia virus",NA,NA,NA,NA,"Methanocaldococcus jannaschii","Human gammaherpesvirus 4"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murine leukemia virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murine leukemia virus","Inovirus M13"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sinsheimervirus phiX174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kisquinquevirus KS5"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lambdavirus lvO276"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Methanocaldococcus jannaschii"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murine leukemia virus"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sinsheimervirus phiX174"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tequatrovirus T4"
