,mean_AUROC,margin_of_error_AUROC,mean_AUPR,margin_of_error_PR,AUPR_random,relative_AUPR
Muscle,0.779336661523101,0.002943698481748,0.435836274651049,0.005828659579131,0.193602693602694,2.25118910558889
Heart,0.843270854935098,0.002769926653487,0.665268039754037,0.005761695038335,0.207912457912458,3.19975073371577
Stomach,0.831360316686527,0.004378482991792,0.593557545929561,0.007922697884996,0.085858585858586,6.91319965259136
Colon,0.924643111847955,0.002109490875238,0.846336172611785,0.003496803474591,0.188552188552189,4.48860434403035
Testis,0.848128814140758,0.003314934892084,0.399847417246156,0.007229740807959,0.085858585858586,4.65704638910229
Blood,0.867311520404478,0.001971939082845,0.585369064049905,0.005318533948622,0.179292929292929,3.26487534315159
Liver,0.835657853277622,0.006204941388766,0.586931649478835,0.011141949948538,0.054713804713805,10.7273046089363
Bladder,0.934327979712595,0.009277412156286,0.104220603798866,0.01742782036547,0.004208754208754,24.7628154626106
