"","ROC","PR","PR_random"
"Heart",0.919996385962044,0.790705736196293,0.207912457912458
"Liver",0.94777039523255,0.775707707795085,0.0547138047138047
"Bladder",0.619188503803888,0.0179029108065207,0.00420875420875421
"Colon",0.945784862181387,0.822030404936931,0.188552188552189
"Muscle",0.949466733230462,0.850257881278641,0.193602693602694
"Blood",0.976573973757072,0.978662927456618,0.179292929292929
"Stomach",0.962616906799552,0.867740621934874,0.0858585858585859
"Testis",0.967469216047376,0.943499938149846,0.0858585858585859
