Superkingdom	Phylum	Class	Order	Family	Genus	Species	Scientific_Name	TaxID	NumCounts
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus puulaauensis	Aspergillus puulaauensis	1220207	0
Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Ustilaginoidea	Ustilaginoidea virens	Ustilaginoidea virens	1159556	0
Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	Marasmius oreades	Marasmius oreades	181124	0
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus chevalieri	Aspergillus chevalieri	182096	6.95046
Eukaryota	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia solani	Rhizoctonia solani	456999	0
Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium musae	Fusarium musae	1042133	0
Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium poae	Fusarium poae	36050	1.0
Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Saccharomycodes	Saccharomycodes ludwigii	Saccharomycodes ludwigii	36035	0
Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Psilocybe	Psilocybe cubensis	Psilocybe cubensis	181762	0
Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Fulvia	Fulvia fulva	Fulvia fulva	5499	3.0
Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia striiformis	Puccinia striiformis f. sp. tritici	168172	1.00782
Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	Purpureocillium takamizusanense	Purpureocillium takamizusanense	2060973	3.0
Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum lupini	Colletotrichum lupini	145971	2.06026
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium oxalicum	Penicillium oxalicum	69781	27.539
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans	Aspergillus nidulans FGSC A4	227321	0
Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium keratoplasticum	Fusarium keratoplasticum	1328300	7.0
Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Cryptococcus neoformans var. neoformans B-3501A	283643	0
