"","ROC","margin_of_error_ROC","PR","margin_of_error_PR","PR_random"
"Muscle",0.773102568757375,0.00307047653418441,0.426222770336318,0.00489447579181242,0.193602693602694
"Heart",0.837278693955522,0.00301640142669887,0.664449529834362,0.00626116261564987,0.207912457912458
"Stomach",0.82937502256888,0.00440869108277884,0.545324081275961,0.00836886153899487,0.0858585858585859
"Colon",0.924083779453171,0.00201868228442739,0.840746467895882,0.00392223030163846,0.188552188552189
"Testis",0.751722095836493,0.00428104181913519,0.227198117709816,0.00590341910612197,0.0858585858585859
"Blood",0.861519634043578,0.00240073777819918,0.578019331367042,0.00653483740166853,0.179292929292929
"Liver",0.820432426878553,0.00547245440387342,0.380930383299528,0.0115804292960745,0.0547138047138047
"Bladder",0.936921386306002,0.00882647123501673,0.130165730912657,0.0211895107953945,0.00420875420875421
